Godot Engine v4.7.2.stable.steam.ed1daf0bf - https://godotengine.org

[V] e1.dtl ok, 7 处表情
[V] e2.dtl ok, 15 处表情
[V] e3.dtl ok, 8 处表情
[V] e4.dtl ok, 4 处表情
[V] e5.dtl ok, 4 处表情
[V] final.dtl ok, 4 处表情
[V] timeline1.dtl ok, 0 处表情
[V] timeline10.dtl ok, 16 处表情
[V] timeline11.dtl ok, 0 处表情
[V] timeline12.dtl ok, 4 处表情
[V] timeline13.dtl ok, 0 处表情
[V] timeline14.dtl ok, 5 处表情
[V] timeline15.dtl ok, 6 处表情
[V] timeline16.dtl ok, 3 处表情
[V] timeline2.dtl ok, 0 处表情
[V] timeline3-1.dtl ok, 0 处表情
[V] timeline3.dtl ok, 5 处表情
[V] timeline4.dtl ok, 0 处表情
[V] timeline5.dtl ok, 13 处表情
[V] timeline6.dtl ok, 3 处表情
[V] timeline7.dtl ok, 6 处表情
[V] timeline8.dtl ok, 16 处表情
[V] timeline9.dtl ok, 0 处表情
[V] DONE bad=0
